Employee_ID,Employee_Name,Gender,Age,Department,Job_Role,Location,Employment_Type,Joining_Date,Exit_Date,Years_at_Company,Total_Work_Experience,Education_Level,Salary,Performance_Rating,Job_Satisfaction,Work_Life_Balance,Monthly_Hours,Overtime_Hours,Attendance_Percentage,Projects_Completed,Training_Hours,Promotions,Sick_Days,Manager_Rating,Employee_Engagement,Attrition,Attrition_Reason,Remote_Work,Active_Employee,Exited_Employee
EMP00001,Employee_00001,Male,39,Finance,Senior Accountant,Mumbai,Full-Time,2015-11-14,2016-11-14 00:00:00,10.7,13.5,Master's,1942782,3,3.0,3,173,11,96.9,6,24.0,5,3,3.0,3,No,Not Applicable,Yes,1,0
EMP00002,Employee_00002,Female,29,Sales,Business Development Executive,Kolkata,Contract,2018-01-16,2020-04-16 00:00:00,8.5,8.2,Bachelor's,1191467,3,4.0,3,182,15,98.5,1,27.0,5,10,2.0,3,No,Not Applicable,Yes,1,0
EMP00003,Employee_00003,Female,22,IT,Software Engineer,Bengaluru,Full-Time,2014-09-01,2018-03-01 00:00:00,11.9,18.5,Bachelor's,1665821,3,4.0,4,184,12,99.4,3,30.0,2,4,3.0,4,No,Not Applicable,Yes,1,0
EMP00004,Employee_00004,Female,22,Finance,Finance Manager,Kolkata,Full-Time,2017-02-17,2021-11-17 00:00:00,9.4,13.5,Master's,1450854,4,2.0,4,163,17,93.8,7,29.0,1,8,5.0,4,No,Not Applicable,Yes,1,0
EMP00005,Employee_00005,Female,37,Sales,Business Development Executive,Ahmedabad,Part-Time,2023-02-26,2026-07-31 00:00:00,3.4,9.7,MBA,1545156,3,3.0,2,165,11,96.1,6,38.0,1,3,3.0,2,No,Not Applicable,Yes,1,0
EMP00006,Employee_00006,Male,26,Sales,Sales Manager,Hyderabad,Full-Time,2023-11-29,2026-07-31 00:00:00,2.7,4.7,Master's,957418,3,4.0,4,207,21,100.0,9,31.0,0,6,4.0,3,No,Not Applicable,Yes,1,0
EMP00007,Employee_00007,Male,29,IT,Software Engineer,Pune,Full-Time,2025-06-15,2026-07-31 00:00:00,1.1,5.5,Bachelor's,1371473,4,4.0,3,193,21,89.2,4,41.0,0,1,4.0,3,No,Not Applicable,No,1,0
EMP00008,Employee_00008,Male,38,Sales,Sales Executive,Ahmedabad,Full-Time,2014-08-14,2019-07-18 00:00:00,12.0,16.9,Master's,1865139,3,3.0,3,128,14,92.7,5,26.0,6,7,4.0,3,Yes,Work-Life Balance,No,0,1
EMP00009,Employee_00009,Female,30,IT,QA Engineer,Kolkata,Full-Time,2022-09-06,2024-06-06 00:00:00,3.9,5.1,Bachelor's,1384767,3,2.0,5,179,8,98.0,5,44.0,4,4,3.0,4,No,Not Applicable,Yes,1,0
EMP00010,Employee_00010,Female,31,Sales,Sales Manager,Pune,Full-Time,2014-04-21,2016-04-21 00:00:00,12.3,18.2,Master's,1635510,3,4.0,3,202,16,94.8,8,40.0,3,5,4.0,3,No,Not Applicable,Yes,1,0
EMP00011,Employee_00011,Male,30,Marketing,Marketing Executive,Kolkata,Full-Time,2015-06-06,2018-09-06 00:00:00,11.2,14.8,Bachelor's,1557026,3,4.0,4,155,8,98.4,3,18.0,1,7,3.0,4,No,Not Applicable,No,1,0
EMP00012,Employee_00012,Female,22,IT,System Administrator,Chennai,Full-Time,2017-01-13,2021-07-13 00:00:00,9.5,13.0,MBA,1399288,5,3.0,1,169,24,90.8,6,40.0,2,13,5.0,3,No,Not Applicable,Yes,1,0
EMP00013,Employee_00013,Male,32,Sales,Account Manager,Mumbai,Full-Time,2017-04-25,2023-01-25 00:00:00,9.3,6.2,Master's,1217742,4,3.0,4,151,22,94.4,10,25.0,3,6,4.0,3,No,Not Applicable,No,1,0
EMP00014,Employee_00014,Male,29,Marketing,Marketing Manager,Kolkata,Full-Time,2019-05-14,2025-05-14 00:00:00,7.2,8.4,Master's,1212799,4,4.0,1,165,20,98.9,7,31.0,0,5,4.0,3,No,Not Applicable,No,1,0
